NI (c) Historical Data Viewer v2.0                             
Created: 04.12.2019 14:41:40.020 W. Europe Standard Time
Number of rows: 781
Interpolation interval: 1 seconds

Row;Time;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Indikator 2;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Leitfähigkeit;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Temperatur
1;14:24:03.549;;;
2;14:24:04.549;;;
3;14:24:05.549;;;
4;14:24:06.549;;;
5;14:24:07.549;;;
6;14:24:08.549;;;
7;14:24:09.549;;;
8;14:24:10.549;;;
9;14:24:11.549;;;
10;14:24:12.549;;;
11;14:24:13.549;;;
12;14:24:14.549;;;
13;14:24:15.549;;;
14;14:24:16.549;;;
15;14:24:17.549;;;
16;14:24:18.549;;;
17;14:24:19.549;;;
18;14:24:20.549;;;
19;14:24:21.549;;;
20;14:24:22.549;;;
21;14:24:23.549;;;
22;14:24:24.549;;;
23;14:24:25.549;;;
24;14:24:26.549;;;
25;14:24:27.549;;;
26;14:24:28.549;;;
27;14:24:29.549;;;
28;14:24:30.549;;;
29;14:24:31.549;;;
30;14:24:32.549;;;
31;14:24:33.549;;;
32;14:24:34.549;;;
33;14:24:35.549;;;
34;14:24:36.549;;;
35;14:24:37.549;;;
36;14:24:38.549;;;
37;14:24:39.549;;;
38;14:24:40.549;;;
39;14:24:41.549;;;
40;14:24:42.549;;;
41;14:24:43.549;;;
42;14:24:44.549;;;
43;14:24:45.549;;;
44;14:24:46.549;;;
45;14:24:47.549;50;5.26;45.18
46;14:24:48.549;50;5.26;45.18
47;14:24:49.549;30.6846;8.04218;52.2864
48;14:24:50.549;1;12.3025;63.2021
49;14:24:51.549;1;12.26;63.19
50;14:24:52.549;1;12.2246;63.1861
51;14:24:53.549;1;12.1425;63.1762
52;14:24:54.549;1;12.1;63.1701
53;14:24:55.549;1;12.0607;63.1701
54;14:24:56.549;1;11.9607;63.1661
55;14:24:57.549;1;11.9001;63.16
56;14:24:58.549;1;11.8568;63.16
57;14:24:59.549;1;11.7506;63.16
58;14:25:00.549;1;11.69;63.16
59;14:25:01.549;1;11.6467;63.1561
60;14:25:02.549;1;11.5287;63.154
61;14:25:03.549;1;11.45;63.16
62;14:25:04.549;1;11.3987;63.16
63;14:25:05.549;1;11.2727;63.1639
64;14:25:06.549;1;11.2;63.17
65;14:25:07.549;1;11.1449;63.17
66;14:25:08.549;1;11.0167;63.17
67;14:25:09.549;1;10.95;63.17
68;14:25:10.549;1;10.9028;63.1739
69;14:25:11.549;1;10.7788;63.18
70;14:25:12.549;1;10.7;63.18
71;14:25:13.549;1;10.6528;63.1839
72;14:25:14.549;1;10.5328;63.1939
73;14:25:15.549;1;10.46;63.2
74;14:25:16.549;1;10.4167;63.2039
75;14:25:17.549;1;10.3067;63.21
76;14:25:18.549;1;10.24;63.21
77;14:25:19.549;1;10.2005;63.2139
78;14:25:20.549;1;10.0966;63.2279
79;14:25:21.549;1;10.03;63.24
80;14:25:22.549;1;9.99449;63.24
81;14:25:23.549;1;9.90453;63.2439
82;14:25:24.549;1;9.85;63.25
83;14:25:25.549;1;9.81065;63.2539
84;14:25:26.549;1;9.71852;63.2639
85;14:25:27.549;1;9.67;63.27
86;14:25:28.549;1;9.63458;63.2739
87;14:25:29.549;1;9.54852;63.2839
88;14:25:30.549;1;9.5;63.29
89;14:25:31.549;1;9.46852;63.2939
90;14:25:32.549;1;9.38852;63.3039
91;14:25:33.549;1;9.34;63.31
92;14:25:34.549;1;9.31245;63.3139
93;14:25:35.549;1;9.25426;63.32
94;14:25:36.549;1;9.23;63.32
95;14:25:37.549;1;9.21422;63.3239
96;14:25:38.549;1;9.17422;63.3339
97;14:25:39.549;1;9.15;63.34
98;14:25:40.549;1;9.13816;63.3439
99;14:25:41.549;1;9.10424;63.35
100;14:25:42.549;1;9.08;63.35
101;14:25:43.549;1;9.06819;63.35
102;14:25:44.549;1;9.03426;63.3539
103;14:25:45.549;1;9.01;63.36
104;14:25:46.549;1;8.99819;63.36
105;14:25:47.549;1;8.96819;63.36
106;14:25:48.549;1;8.95;63.36
107;14:25:49.549;1;8.93819;63.3639
108;14:25:50.549;1;8.90819;63.37
109;14:25:51.549;1;8.89;63.37
110;14:25:52.549;1;8.87819;63.3739
111;14:25:53.549;1;8.84818;63.38
112;14:25:54.549;1;8.83;63.38
113;14:25:55.549;1;8.81027;63.38
114;14:25:56.549;1;8.76027;63.38
115;14:25:57.549;1;8.73;63.38
116;14:25:58.549;1;8.71027;63.38
117;14:25:59.549;1;8.66027;63.38
118;14:26:00.549;1;8.63;63.38
119;14:26:01.549;1;8.61027;63.3839
120;14:26:02.549;1;8.56422;63.3861
121;14:26:03.549;1;8.54;63.3801
